ID,질문,대답,
1224,비주얼프로그래밍은 뭘 배워?,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다.",0.844115612
1225,종합설계기획은 뭐 배우디지털회로실험는이지 알려줘,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다.",0.361983373
1226,메카 학생회장 누구야?,임현종,0.569333876
1227,메카트로닉스 공학과 학생 부회장 누구에요?,안태준,0.427025361
1228,차동혁 교수님 번호 좀요,031)8041-0454,0.76562859
1229,메카 학과 사무실 운영시간 알려주오,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.394076821
1230,스마트융합기초는 뭘 배울까?,"전공필수
스마트 융합제품을 구성하는 컴포넌트인 MCU(아두이노, M-Bed 등), 센서, 모터 등에 대해 기본적인 이론을 학습하고, Open Source를 이용하여 하나의 제품(3D 프린터, 휴머노이드 로봇)으로 제작하는 과정을 경험하여 메카트로닉스 기반 제품 설계 및 제작의 기초 지식 및 능력을 갖추도록 한다.",0.229022673
1231,메카 학과장님이 누구?,정명진 교수님,0.621367241
1232,핵심교양 과목 좀 알려주시게나,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.873194978
1233,메카트로닉스 공학과 추천 융합전공,"스마트팩토리, 인공지능융합,지능형로봇융합",0.354912063
1234,이양희 교수님 연구실 알려줘,공학관 B동 309호,0.485154873
1235,동역학에 대해 알려주라,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다.",0.956096383
1236,차동혁 교수님 이메일 알려주오,dhcha@kpu.ac.kr,0.376893479
1237,메카트로닉스 학생부회장 누구노?,안태준,0.901282933
1238,이승훈 교수님 연락처,031)8041-0367,0.191166092
1239,메카트로닉스입문은 뭐 가르쳐요?,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다.",0.286643265
1240,16학번 졸업요건이 뭐오?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.279694849
1241,이양희 교수님 연락처 좀,031)8041-0455,0.603506785
1242,전자회로실험은 뭐 가르쳐?,"전공필수
전자회로에서 학습한 전자소자와 회로에 대한 실습을 통해 동작 원리와 특성을 이해한다. 회로 분석과 설계 능력을 배양하기 위해 계측기와 분석 S/W 사용법을 학습한다.",0.941310861
1243,공업역학은 뭐 배우공업역학은이지 알려줘,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다.",0.26706415
1244,메카 추천 융합전공 뭐있니?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.18161265
1245,서보전동기1은 뭘 배울까?,"전공선택
서보 제어시스템의 주요 구동원으로 이용되는 전동기에 대한 이론과 실험을 병행하여 배운다. 이 교과의 이수로 제어시스템 설계를 전동기의 특성, 전달함수 등을 알 수 있고 전동기의 운용상의 일반적 문제점을 자율적으로 해결할 수 있다.",0.177189156
1246,마이크로컴퓨터응용은 뭐 가르치세요?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.531339422
1247,메카 과사가 어디에요?,공학관 B동 307호,0.549909382
1248,PC제어응용은 뭐 배워?,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.031115901
1249,공업역학에 대해 알려주라,"전공필수
시스템 메커니즘 설계 및 응용에서 요구되는 힘, 모멘트의 원리를 이해하고, 안정된 시스템을 설계하기 위해 역학 기반의 자유물체도 및 평형방정식의 개념을 학습함으로 다양한 메카트로닉스 시스템에 적용할 수 있도록 기본적인 역학개념의 습득에 있다.",0.795455558
1250,차동혁 교수님 연구실 좀 알려주오,공학관 B동 316호,0.643719187
1251,C프로그래밍1은 뭘 배우지?,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다.",0.869756088
1252,제어공학에 대해 알려주시면 감사하겠습니다,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다.",0.996755434
1253,메카트로닉스 공학과 부전공 종류좀,"스마트팩토리, 인공지능융합,지능형로봇융합",0.234417721
1254,김기현 교수님 연구실 위치 좀 알려줘,공학관 B동 308호,0.988308991
1255,메카 학과 사무실 번호 뭐야,031-8041-0450,0.418637941
1256,이승훈 교수님 번호 좀,031)8041-0367,0.074524363
1257,메카트로닉스 공학과 학생 부회장 누굴까요?,안태준,0.473870748
1258,센서는 뭐 가르쳐요?,"전공선택
제어 대상의 상태를 파악하기 위해 각종 센서의 원리와 활용법을 학습하고 측정대상에 적합한 센서를 선정 및 응용하는 능력을 갖도록 하는데 있다.",0.538638997
1259,메카 학과 행정실 어디오,공학관 B동 307호,0.630500262
1260,B동 학과 행정실 위치 좀,공학관 B동 307호,0.069274935
1261,21학번 전필 과목 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.605627815
1262,제어용통신은 뭘 배울까?,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양",0.211464616
1263,19학번 전공필수 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.889831774
1264,이승훈 교수님 연구실 알려주오,공학관 B동 409호,0.486382547
1265,남윤석 교수님 연구실 어디야,공학관 B동 317호,0.30916716
1266,마이크로컴퓨터응용은 뭘 배울까요?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.737839911
1267,김기현 교수님 연구실 위치가 어디야,공학관 B동 308호,0.427924125
1268,이익현 교수님 연구실 위치가 어디야,공학관 B동 311호,0.082922765
1269,16학번 졸업요건이 뭐요?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.747083054
1270,제어용통신에 대해 알려줘요,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양",0.540634029
1271,디지털회로는 뭐 가르쳐요?,"전공필수
디지털의 수 체계 및 조합논리와 순서회로를 이해하여 디지털시스템의 동작원리의 이해 및 설계능력을 갖추도록 하고, 마이크로프로세서 및 컴퓨터시스템을 이해하기 위한 기본능력을 갖추도록 한다.",0.735495586
1272,17학번 졸업요건이 어떻게 돼나??,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.635461905
1273,어떤 메카 연구실이 있나?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.276586409
1274,재료역학은 뭘 배우지?,"전공선택
각 부재의 안정성을 판단하기 위해 구조물의 역학적 해석능력을 키우고 이를 반영한 구조물 설계개선능력을 갖추도록 하는데 있다.",0.790371256
1275,핵심교양 과목 알려줄래요?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.467685397
1276,전자회로에 대해 알려주라,"전공필수
전자소자의 특성 및 응용회로들에 대해 학습한다. 반도체 원리 및 이를 이용한 기본 전자소자인 다이오드 및 트랜지스터의 구조와 동작원리에 대해 학습하고, 이러한 기본 전자소자들로 구성된 대표적인 집적회로인 연산증폭기에 대해 학습하여 전자회로의 분석 및 설계 능력을 배양한다.",0.681766647
1277,메카 학과장님이 누군지 궁금하다,정명진 교수님,0.189276545
1278,스마트팩토리디바이스제어에 대해 알려주소,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.843385078
1279,스마트팩토리HMI에 대해 알려주세요,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다.",0.001321208
1280, 18학번 전필 좀 알려주오!!!,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.906129987
1281,메카 학과장님이 누구더라?,정명진 교수님,0.286002442
1282,비주얼프로그래밍에 대해 알려줘요,"전공필수
C++ 를 기반으로 다양한 MFC클래스를 활용하여 윈도우 기반의 비주얼 프로그램을 작성한다. 다양한 MFC 클래스, API 및 GDI 개념을 학습하고 이를 활용하여 파일 입출력, 그래픽, 네트워크 통신이 가능한 윈도우 응용 프로그램을 작성한다.",0.32986695
1283,17학번 졸업요건 좀 알려주오,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.286238073
1284,메카 학과 행정실 운영시간 좀 알려주오,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.91571448
1285,서보전동기2에 대해 알려주면 감사하겠습니다,"전공선택
고급 정밀 제어시스템의 구동기로서의 서보전동기의 동작특성 및 구동특성, 구동방법을 다룬다. 교류서보전동기, 직류서보전동기, 그 외 정밀 소형전동기의 종류와 원리, 전력변환 회로를 배우며 제어기의 설계 등을 통하여 서보제어시스템 설계 능력을 배양한다.",0.080268138
1286,남윤석 교수님 연구실 위치 좀요,공학관 B동 317호,0.289358334
1287,20학번 전필 과목 알려주시오,"1학년: 메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2,  공업역학, 전자회로실험, 스마트융합기초, 디지털회로, 디지털회로실험, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획, 시스템제어공학
4학년: 종합설계1, 종합설계2",0.535062016
1288,종합설계기획에 대해 알려주시면 감사하겠습니다,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다.",0.439420639
1289,C프로그래밍1에 대해 알려주시오,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다.",0.529317125
1290,신호및시스템에 대해 알려주소,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.106662743
1291,17학번 졸업요건은 어떻게 되요??,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.956326043
1292,메카 부전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합",0.679237886
1293,이익현 교수님 연구실 어디야,공학관 B동 311호,0.864929785
1294,동역학은 뭐 배워?,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다.",0.644661929
1295,성적우수장학생 취득학점 뭘까?,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       9학점 이상",0.548055279
1296,계측공학은 뭐 배우노?,"전공선택
기계계측의 기초를 강의하는 것으로서 각종 센서 출력의 특성을 파악하고 측정하고자 하는 물리량의 올바른 계측방법과 계측 후의 데이터 처리 방법을 습득하고 LabVIEW를 사용하여 계측시스템을 구현하는 방법을 갖추도록 한다.",0.10438741
1297,17학번 전공필수과목 알려주오,"1학년:메카트로닉스 입문, 창의적공학설계, 전기회로1
2학년: 전기회로2, 공업역학, 스마트융합기초, 디지털회로, 전자회로
3학년: 제어공학, 비주얼프로그래밍, 종합설계기획
4학년: 종합설계1, 종합설계2",0.877010632
1298,제어용통신에 대해 알려주소,"전공선택
제어 시스템간의 정보/데이터 통신을 위한 통신기법 및 네트워크 기법을 배우고, 이를 이용한 제어 시스템간의 통신능력을 배양",0.275638054
1299,무슨 메카 랩실이 있죠?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.331168601
1300,17학번 졸업기준은 어떻게 되나요??,"학점기준
졸업학점: 140, 교양: 25, 계열기초: 30, 전공: 70, 현장실무:4
어학자격
토익 550점",0.167214258
1301,메카 학생회장 누구?,임현종,0.251784978
1302,메카 과사 번호는 무엇인가요?,031-8041-0450,0.37100264
1303,메카트로닉스 공학과 추천 융합전공 뭐있을까요?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.437547139
1304,남윤석 교수님 연구실 위치 좀,공학관 B동 317호,0.205949398
1305,동역학은 뭐 가르치나요?,"전공선택
설계 대상인 기계나 기구에 어떤 힘이 가해질 때, 변위나 속도가 어떻게 변화하는지 기계나 기구의 거동을 해석하여 예측할 수 있도록 함으로써 올바른 기구설계를 할 수 있다.",0.737226493
1306,디지털회로는 뭐 배우디지털회로는이지 알려줘,"전공필수
디지털의 수 체계 및 조합논리와 순서회로를 이해하여 디지털시스템의 동작원리의 이해 및 설계능력을 갖추도록 하고, 마이크로프로세서 및 컴퓨터시스템을 이해하기 위한 기본능력을 갖추도록 한다.",0.84149098
1307,메카트로닉스공학과 관련 융합전공 좀,"스마트팩토리, 인공지능융합,지능형로봇융합",0.411895113
1308,성적우수장학생 취득학점 몇이오?,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       9학점 이상",0.272012417
1309,B동 학과 사무실 운영시간 알려주오,"운영시간 09:30 ~ 22:00(학기중)
점심시간 12:00 ~ 13:00",0.628692519
1310,성적우수장학생 취득학점 뭘까요?,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       9학점 이상",0.111426819
1311,스마트팩토리디바이스제어는 뭐 배우디지털회로실험는이지 알려줘,"전공선택
디바이스(센서, 액추에이터, 신호 입출력 장치), 통신 및 제어시스템의 기본원리 이해 ? 디바이스 활용한 현장 맞춤형 프로젝트 실습 ? 역량강화 성취도를 높이기 위하여 온라인-오프라인 강의와 전문가 특강, 그리고 실습(Team project)을 병행 ? 스마트팩토리 구현 시 발생 가능한 문제점에 대한 개선안 도출",0.896257977
1312,심재홍 교수님 번호 알려주게나,031)8041-0458,0.215637619
1313,메카 학생부회장 누구냐?,안태준,0.650643961
1314,16학번 졸업요건 좀 알려주세요,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.384548855
1315,PC제어응용은 뭘 배우나요?,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.998829746
1316,과사 B동 몇 층이오,공학관 B동 307호,0.557348666
1317,기계요소설계에 대해 알려주면 감사하겠습니다,"전공선택
자동화 기구 시스템을 설계할 때 고려해야 하는 각종 요소들의 설계방법과 선정방법 등을 학습하여 효율적인 기구를 설계할 수 있는 능력을 배양한다.",0.574450989
1318,마이크로컴퓨터응용은 뭐 배워?,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.840997063
1319,창의적공학설계는 뭐 가르치나요?,"전공필수
메카트로닉스공학 입문자에게 공학에 대한 이해와 전공이수에 필요한 기초이론을 가르쳐 전공에 대한 이해도를 높인다.",0.692109922
1320,스마트팩토리HMI는 뭘 배울까요?,"전공선택
인간과 인간 또는 인간과 로봇의 소통을 위해서는 시각 인식 기술이 필요하다. 본 과목에서는 로봇의 시각 요소인 광학의 기본 개념에 대해 이해하고, 카메라를 통하여 입력 영상에 대한 기본적인 처리 기술에 대해 익힌다. 또한 실제 산업현장에서 로봇이 외부 환경을 인식하고 상황을 판단하기 위한 센서에 대해 살펴보고자 한다.",0.8966822
1321,이승훈 교수님 번호 내놔,031)8041-0367,0.267204367
1322,C프로그래밍2는 뭐 배우디지털회로실험는이지 알려줘,"기초선택(전공)
공학의 실용적인 문제와 관련하여 시스템의 모델링, 동적거동을 해석하는데 필요한 수학을 학습한다.",0.22479085
1323,PC제어응용에 대해 알려주라,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.921422501
1324,컴퓨터응용설계1은 뭘 배우지?,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 3차원 구조물을 설계할 수 있는 능력을 갖게 한다.",0.552216092
1325,김기현 교수님 번호,031)8041-0460,0.429752457
1326,C프로그래밍1에 대해 알려주라,"기초필수(전공)
기본적인 C 프로그래밍 언어 문법을 학습하고, 실습을 통해 프로그램 해석 및 프로그래밍 능력을 배양한다.",0.264119297
1327,16학번 졸업기준이 궁금해,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.544087043
1328,메카 학과 사무실 번호 좀요,031-8041-0450,0.127249761
1329,디지털회로에 대해 알려주소,"전공필수
디지털의 수 체계 및 조합논리와 순서회로를 이해하여 디지털시스템의 동작원리의 이해 및 설계능력을 갖추도록 하고, 마이크로프로세서 및 컴퓨터시스템을 이해하기 위한 기본능력을 갖추도록 한다.",0.689800995
1330,컴퓨터응용설계2는 뭐 가르쳐?,"전공선택
제도이론의 숙지, 투상법, 도형의 표시, 치수기입법에 대한 학습을 통해 도면화할 수 있는 능력을 확보하고, 3차원 설계 기본개념과 SolidWorks사용법의 학습을 통해 가공하지 않고 3차원 구조물을 설계할 수 있는 능력을 갖게 한다.",0.686936003
1331,핵교 뭘까요?,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.28559151
1332,성적우수장학생 취득학점 알려주오,"           취득학점        학과과목
1학년 : 16학점 이상    16학점 이상
2학년 : 16학점 이상    12학점 이상
3학년 : 16학점 이상    12학점 이상
4학년 : 9학점 이상       9학점 이상",0.791215207
1333,이원봉 교수님 연락처,031)8041-0384,0.882418484
1334,메카 관련 부전공이 뭐뭐있어요?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.197137315
1335,스마트융합기초는 뭘 배워?,"전공필수
스마트 융합제품을 구성하는 컴포넌트인 MCU(아두이노, M-Bed 등), 센서, 모터 등에 대해 기본적인 이론을 학습하고, Open Source를 이용하여 하나의 제품(3D 프린터, 휴머노이드 로봇)으로 제작하는 과정을 경험하여 메카트로닉스 기반 제품 설계 및 제작의 기초 지식 및 능력을 갖추도록 한다.",0.639689119
1336,스마트융합기초는 뭘 배우지?,"전공필수
스마트 융합제품을 구성하는 컴포넌트인 MCU(아두이노, M-Bed 등), 센서, 모터 등에 대해 기본적인 이론을 학습하고, Open Source를 이용하여 하나의 제품(3D 프린터, 휴머노이드 로봇)으로 제작하는 과정을 경험하여 메카트로닉스 기반 제품 설계 및 제작의 기초 지식 및 능력을 갖추도록 한다.",0.980683595
1337,심재홍 교수님 번호 알려줘,031)8041-0458,0.611146103
1338,전기회로1에 대해 알려주시오,"전공필수
전기전자분야의 교과를 수강하기 위한 선수적 교과내용으로써 기본적인 전기지식을 배운다. 직류회로를 중심으로 기본적인 소자, 회로해석 및 전기에너지의 전달관계를 이해하고, 실험을 통하여 이론을 검증한다.",0.971758634
1339,메카 추천 융합전공이 뭐뭐있어?,"스마트팩토리, 인공지능융합,지능형로봇융합",0.060514376
1340,주형길 교수님 이메일 알려줘,hgjoo@kpu.ac.kr,0.118201058
1341,신호및시스템에 대해 알려줘요,"전공선택
실생활이나 공학 분야의 신호와 시스템의 특성에 대해서 학습한다. 연속(Continuous-time) 및 이산(Discrete-time) 신호와 다양한 수학적 도구(푸리에 표현, 라플라스 변환, Z변환)를 이용하여 신호 및 시스템을 해석하고 분석하는 방법을 학습한다.",0.708445046
1342,종합설계기획은 뭐 배워?,"전공필수
창의적 공학설계, 교양학적 사고, 기초전공지식, 전공 심화 등의 내용을 기반으로 메카트로닉스 전공 교과목의 개념을 종합적으로 이해하여 전공 관련 제품을 설계하기 위한 기획을 행한다.",0.776765353
1343,정명진 교수님 이메일좀,mjchung@kpu.ac.kr,0.934996796
1344,메카 랩실은 뭐가 있나?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.247057191
1345,16학번 졸업요건이 뭐노?,"학점기준
졸업학점: 150, 교양: 27, 계열기초: 30, 전공: 75, 현장실무:4
어학자격
토익 550점",0.114694032
1346,PC제어응용에 대해 알려줘요,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.467242765
1347,마이크로컴퓨터응용에 대해 알려주시오,"전공선택
메모리, 입출력 장치 및 주변장치를 포함하는 교육용 원칩 마이크로컴퓨터 시스템을 활용한 실습을 통해 원칩 마이크로컴퓨터의 기능과 동작방법에 대해 학습하여 마이크로컴퓨터 보드의 설계 및 제작 능력을 배양한다.",0.911623602
1348,핵심교양 가르쳐주라요,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.293802601
1349,이익현 교수님 연구실 좀 알려주오,공학관 B동 311호,0.180991637
1350,제어공학은 뭐 배워?,"전공필수
동적 시스템의 특성, 모델링 및 이를 제어하는 기법에 대하여 학습한다.",0.296712946
1351,PC제어응용에 대해 알려주시면 감사하겠습니다,"전공선택
아날로그 신호 및 디지털신호를 처리하기 위한 DAQ카드의 구조 및 사용법을 이해하여 Windows 기반의 컴퓨터에서 신호입출력 및 RS232, 블루투스 기술과 접목하여 PC를 활용한 제어기술을 구현할 수 있도록 한다.",0.064722227
1352,메카 연구실 뭐있나요?,"지능메카트로닉스 EH
마이크로/나노 자동화 시스템 EH
차세대 정밀모터 시스템 EH
지능로봇 부품 EH
태양광 발전 및 센서 융합 EH",0.102460588
1353,이석원 교수님 연락처 알려줘,031)8041-0462,0.338384933
1354,강대진 교수님 이메일 뭐노,djkang@kpu.ac.kr,0.949167485
1355,디지털회로실험에 대해 알려주면 감사하겠습니다,"전공필수
'디지털회로'교과에서 학습한 디지털 조합/순차 논리회로에 대한 실험 및 실습을 통해 회로 동작의 원리와 특성을 이해한다.",0.054610844
1356,전자회로는 뭘 배워?,"전공필수
전자소자의 특성 및 응용회로들에 대해 학습한다. 반도체 원리 및 이를 이용한 기본 전자소자인 다이오드 및 트랜지스터의 구조와 동작원리에 대해 학습하고, 이러한 기본 전자소자들로 구성된 대표적인 집적회로인 연산증폭기에 대해 학습하여 전자회로의 분석 및 설계 능력을 배양한다.",0.661881196
1357,스마트융합기초는 뭐 배워?,"전공필수
스마트 융합제품을 구성하는 컴포넌트인 MCU(아두이노, M-Bed 등), 센서, 모터 등에 대해 기본적인 이론을 학습하고, Open Source를 이용하여 하나의 제품(3D 프린터, 휴머노이드 로봇)으로 제작하는 과정을 경험하여 메카트로닉스 기반 제품 설계 및 제작의 기초 지식 및 능력을 갖추도록 한다.",0.118967654
1358,이양희 교수님 연구실 위치가 어디야,공학관 B동 309호,0.040758299
1359,핵교 알려주라,"문학과 예술               역사와 철학               기업과 미디어                     인간과 사회
현대예술의 이해         문화유산과 역사         기업경영의 이해                  현대사회의 이해
한국문학의 이해         한국근현대사             소비자와 마케팅                  고용과 법
서구문학의 이해         윤리와 철학               글로벌시장과 경제의 이해     인간심리 탐구
현대영미문화와 언어   서양사의 이해            미디어커뮤니케이션             현대사회와 법",0.363590347
